origen_id,destino_id,origen_lat,origen_lon,destino_lat,destino_lon,calle,distancia_m,trafico,distancia_trafico_m,tiempo_estimado_s,distrito_origen,distrito_destino
306073831,3777625060,-12.1833154,-77.0100093,-12.1824871,-77.0090663,Jirón Percy Faith,137.8,1.5,206.7,24.81,Chorrillos,Chorrillos
306073831,306073832,-12.1833154,-77.0100093,-12.1830943,-77.0104626,Avenida Defensores del Morro,55.13,1.24,68.36,8.21,Chorrillos,Chorrillos
306073832,4354896824,-12.1830943,-77.0104626,-12.1831825,-77.0105199,Jirón Víctor Humareda,11.62,1.95,22.66,2.72,Chorrillos,Chorrillos
306073832,1753960783,-12.1830943,-77.0104626,-12.1818257,-77.0118381,Avenida Defensores del Morro,206.22,1.26,259.84,31.19,Chorrillos,Chorrillos
306073832,1273621908,-12.1830943,-77.0104626,-12.1827734,-77.010104,Jirón Víctor Humareda,52.84,2.23,117.83,14.15,Chorrillos,Chorrillos
306073850,306073564,-12.1842085,-77.0079989,-12.1845796,-77.007733,Avenida Defensores del Morro,50.42,1.06,53.45,6.42,Chorrillos,Chorrillos
306073869,6047565243,-12.1840062,-77.0079922,-12.1839321,-77.0082452,Avenida Defensores del Morro,28.73,1.7,48.84,5.86,Chorrillos,Chorrillos
306073869,306073850,-12.1840062,-77.0079922,-12.1842085,-77.0079989,Avenida Defensores del Morro,24.21,1.13,27.36,3.28,Chorrillos,Chorrillos
308132027,308132402,-12.1624695,-77.0255196,-12.1618743,-77.0253659,Circuito de Playas,68.26,1.88,128.33,15.41,Chorrillos,Chorrillos
308132027,308132128,-12.1624695,-77.0255196,-12.1623775,-77.0259646,Sin nombre,86.78,1.55,134.51,16.15,Chorrillos,Chorrillos
308132128,1273608951,-12.1623775,-77.0259646,-12.1654845,-77.0274897,Circuito de Playas,398.3,1.79,712.96,85.59,Chorrillos,Chorrillos
308132236,308132128,-12.1617934,-77.0258617,-12.1623775,-77.0259646,Circuito de Playas,65.91,1.79,117.98,14.16,Chorrillos,Chorrillos
308132236,308132402,-12.1617934,-77.0258617,-12.1618743,-77.0253659,Sin nombre,87.69,1.0,87.69,10.53,Chorrillos,Chorrillos
308132402,5005642848,-12.1618743,-77.0253659,-12.1616747,-77.0253346,Circuito de Playas,22.45,1.08,24.25,2.91,Chorrillos,Chorrillos
308132536,10681400322,-12.1677191,-77.0321312,-12.1675845,-77.0306046,Avenida Malecón Miguel Grau,167.34,1.92,321.29,38.57,Chorrillos,Chorrillos
308132536,7707626401,-12.1677191,-77.0321312,-12.1673649,-77.0331391,Avenida Malecón Miguel Grau,116.43,1.7,197.93,23.76,Chorrillos,Chorrillos
308132536,1757653554,-12.1677191,-77.0321312,-12.1681086,-77.0315717,Calle Filiberto Romero,81.13,1.1,89.24,10.71,Chorrillos,Chorrillos
308132539,4347911984,-12.1674293,-77.0295392,-12.1675707,-77.0304975,Avenida Malecón Miguel Grau,105.35,1.79,188.58,22.64,Chorrillos,Chorrillos
308132539,1827979506,-12.1674293,-77.0295392,-12.1670851,-77.0286442,Avenida Malecón Miguel Grau,104.55,1.73,180.87,21.71,Chorrillos,Chorrillos
308132540,10681884449,-12.1663462,-77.0269014,-12.1662955,-77.0267961,Avenida Malecón Miguel Grau,12.76,1.0,12.76,1.53,Chorrillos,Chorrillos
308132540,1827979502,-12.1663462,-77.0269014,-12.1666436,-77.0276013,Avenida Malecón Miguel Grau,82.98,1.72,142.73,17.13,Chorrillos,Chorrillos
308132586,308132589,-12.1658446,-77.0260905,-12.1657306,-77.0259643,Avenida Malecón Miguel Grau,18.68,1.26,23.54,2.83,Chorrillos,Chorrillos
308132586,5343450967,-12.1658446,-77.0260905,-12.1662706,-77.0267477,Avenida Malecón Miguel Grau,85.73,2.14,183.46,22.02,Chorrillos,Chorrillos
308132589,308132586,-12.1657306,-77.0259643,-12.1658446,-77.0260905,Avenida Malecón Miguel Grau,18.68,1.46,27.27,3.27,Chorrillos,Chorrillos
308132589,3245797091,-12.1657306,-77.0259643,-12.1652953,-77.0257133,Avenida Malecón Miguel Grau,56.18,1.26,70.79,8.5,Chorrillos,Chorrillos
308132589,1813624318,-12.1657306,-77.0259643,-12.1654388,-77.0255762,Avenida Malecón Grau,53.24,2.27,120.85,14.51,Chorrillos,Chorrillos
